City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Eyl,SO,2022-08-31 02:01:56,7.9803,49.8164,76.05,75,92,18.43
189,Vila Velha,BR,2022-08-31 02:01:44,-20.3297,-40.2925,62.94,85,94,1.01
190,Anadyr,RU,2022-08-31 02:01:11,64.75,177.4833,50.5,93,100,15.66
191,Mar Del Plata,AR,2022-08-31 02:00:06,-38.0023,-57.5575,51.94,71,0,15.01
192,Nicoya,CR,2022-08-31 02:01:56,10.1483,-85.452,74.75,94,100,2.95
193,Fortuna,US,2022-08-31 02:01:57,40.5982,-124.1573,62.92,93,40,11.5
194,Namibe,AO,2022-08-31 02:01:57,-15.1961,12.1522,65.03,87,96,11.88
195,Saint-Louis,SN,2022-08-31 02:01:57,16.3333,-15.0,78.78,83,100,13.47
196,Tessalit,ML,2022-08-31 02:01:58,20.1986,1.0114,89.83,15,9,7.72
197,Nyurba,RU,2022-08-31 02:01:58,63.2842,118.3319,39.78,94,100,8.41
198,Boulogne-Sur-Mer,FR,2022-08-31 02:01:58,50.75,1.8333,63.39,80,16,8.14
199,Maldonado,UY,2022-08-31 02:01:59,-34.6667,-54.9167,49.23,94,0,7.85
200,Okato,NZ,2022-08-31 02:01:59,-39.2,173.8833,53.69,61,98,7.4
201,Kaeo,NZ,2022-08-31 02:01:59,-35.1,173.7833,59.61,54,49,8.12
202,Maridi,SS,2022-08-31 02:02:00,4.9158,29.4742,65.64,97,100,3.85
203,Eldorado,BR,2022-08-31 02:02:00,-23.7869,-54.2836,58.08,65,56,5.28
204,Matara,LK,2022-08-31 02:02:00,5.9485,80.5353,75.65,91,100,9.55
205,Belaya Gora,RU,2022-08-31 02:02:01,68.5333,146.4167,56.16,44,22,6.42
206,Hamadan,IR,2022-08-31 02:02:01,34.7992,48.5146,61.66,23,0,2.55
207,Sao Filipe,CV,2022-08-31 02:02:01,14.8961,-24.4956,76.68,78,38,10.13
208,Abu Samrah,SY,2022-08-31 02:02:02,35.3029,37.1841,80.82,38,0,1.59
209,Leningradskiy,RU,2022-08-31 02:02:02,69.3833,178.4167,33.8,98,100,13.06
210,Saint-Georges,GD,2022-08-31 02:02:02,12.0564,-61.7485,80.67,78,11,10.8
211,Valparaiso,CL,2022-08-31 02:01:19,-33.0393,-71.6273,57.0,100,100,3.09
212,Wilmington Island,US,2022-08-31 02:02:03,32.0036,-80.9737,82.98,86,0,4.61
213,Sola,VU,2022-08-31 02:02:03,-13.8833,167.55,78.78,78,34,22.77
214,Tilichiki,RU,2022-08-31 02:02:03,60.4667,166.1,53.8,67,100,14.07
215,Kamenka,RU,2022-08-31 02:02:04,51.3223,42.7678,67.3,43,21,7.61
216,Sassandra,CI,2022-08-31 02:02:04,4.95,-6.0833,73.8,92,100,8.12
217,Bonfim,BR,2022-08-31 02:02:04,3.0833,-59.95,76.57,86,92,4.9
218,Flinders,AU,2022-08-31 02:02:05,-34.5833,150.8552,63.25,72,71,6.6
219,Provideniya,RU,2022-08-31 02:02:05,64.3833,-173.3,48.36,100,100,18.01
220,Saiha,IN,2022-08-31 02:02:10,22.4833,92.9667,76.77,88,98,0.36
221,Yerbogachen,RU,2022-08-31 02:02:10,61.2767,108.0108,41.92,91,51,13.78
222,Omsukchan,RU,2022-08-31 01:57:11,62.5333,155.8,46.2,60,100,7.54
223,Macau,MO,2022-08-31 02:02:11,22.2006,113.5461,87.85,74,20,4.61
224,Uruguaiana,BR,2022-08-31 02:02:11,-29.7547,-57.0883,53.96,85,81,12.26
225,Melilla,ES,2022-08-31 02:02:11,35.2937,-2.9383,82.78,61,0,6.91
226,Wanaka,NZ,2022-08-31 02:02:12,-44.7,169.15,47.93,89,66,9.71
227,Mahebourg,MU,2022-08-31 02:02:12,-20.4081,57.7,64.69,94,40,3.44
228,Slave Lake,CA,2022-08-31 02:01:06,55.2834,-114.769,70.56,63,0,5.57
229,Qandala,SO,2022-08-31 02:02:12,11.472,49.8728,85.5,61,7,3.33
230,Port Lincoln,AU,2022-08-31 02:02:13,-34.7333,135.8667,56.91,53,30,7.14
231,Oriximina,BR,2022-08-31 02:02:13,-1.7656,-55.8661,78.62,41,0,3.18
232,Yakeshi,CN,2022-08-31 02:02:13,49.2833,120.7333,53.8,63,100,16.53
233,Nacimiento,CL,2022-08-31 02:02:14,-37.5,-72.6667,49.71,91,100,2.28
234,Novaya Ladoga,RU,2022-08-31 02:02:14,60.1025,32.3019,50.22,94,100,22.32
235,Maragogi,BR,2022-08-31 02:02:15,-9.0122,-35.2225,75.43,66,100,13.47
236,Cayenne,GF,2022-08-31 02:00:07,4.9333,-52.3333,75.24,94,75,4.61
237,Impfondo,CG,2022-08-31 02:02:15,1.6381,18.0667,70.27,95,92,1.01
238,Ancud,CL,2022-08-31 02:02:15,-41.8697,-73.8203,50.23,91,95,4.07
239,Salta,AR,2022-08-31 01:58:58,-24.7859,-65.4117,51.58,50,0,3.0
240,Touros,BR,2022-08-31 02:02:16,-5.1989,-35.4608,74.52,71,53,19.15
241,Pirmasens,DE,2022-08-31 02:02:16,49.2015,7.6053,65.48,94,100,0.65
242,Buin,CL,2022-08-31 02:02:16,-33.7333,-70.75,55.74,96,100,3.04
243,Sao Felix Do Xingu,BR,2022-08-31 02:02:17,-6.6447,-51.995,76.44,38,2,1.88
244,Hualmay,PE,2022-08-31 02:02:17,-11.0964,-77.6139,61.11,85,32,10.51
245,Semnan,IR,2022-08-31 02:02:17,35.5729,53.3971,70.65,26,0,3.89
246,Belmonte,BR,2022-08-31 02:02:18,-15.8631,-38.8828,69.06,71,96,13.62
247,Tateyama,JP,2022-08-31 02:02:18,34.9833,139.8667,86.09,81,17,14.63
248,Amahai,ID,2022-08-31 02:02:18,-3.3333,128.9167,82.4,73,58,3.0
249,Shakhtinsk,KZ,2022-08-31 02:02:19,49.71,72.5872,69.13,27,13,1.86
250,Balabac,PH,2022-08-31 02:02:19,7.9868,117.0645,83.7,72,85,2.77
251,Qaanaaq,GL,2022-08-31 02:02:20,77.484,-69.3632,28.15,65,0,5.84
252,Arrah,IN,2022-08-31 02:02:20,25.5667,84.6667,84.09,70,100,6.46
253,Arlit,NE,2022-08-31 02:02:20,18.7369,7.3853,90.93,21,4,7.18
254,Kenai,US,2022-08-31 02:00:38,60.5544,-151.2583,59.14,86,100,12.84
255,Ambovombe,MG,2022-08-31 02:02:21,-25.1667,46.0833,65.46,70,100,12.08
256,Chapais,CA,2022-08-31 02:02:21,49.7834,-74.8492,64.18,94,100,9.1
257,Coquimbo,CL,2022-08-31 02:02:22,-29.9533,-71.3436,53.44,88,11,5.73
258,Blagodarnyy,RU,2022-08-31 02:02:22,45.0978,43.4364,75.29,49,0,1.32
259,La Ronge,CA,2022-08-31 02:02:22,55.1001,-105.2842,63.39,68,38,5.91
260,Fare,PF,2022-08-31 02:02:23,-16.7,-151.0167,78.17,69,0,15.5
261,Belyy Yar,RU,2022-08-31 02:02:23,53.6039,91.3903,57.85,75,0,2.24
262,Santa Cruz,BO,2022-08-31 02:00:10,-17.8,-63.1667,67.55,35,0,4.21
263,Nuzvid,IN,2022-08-31 02:02:23,16.7833,80.85,81.45,83,18,2.24
264,Rocha,UY,2022-08-31 02:00:26,-34.4833,-54.3333,44.8,96,0,6.64
265,Road Town,VG,2022-08-31 02:02:24,18.4167,-64.6167,84.24,79,40,5.75
